,precision,recall,f1-score,support
butterfly,0.8679245283018868,1.0,0.9292929292929293,46.0
cat,0.9361702127659575,1.0,0.967032967032967,44.0
elephant,0.9428571428571428,0.9166666666666666,0.9295774647887323,36.0
sheep,0.9428571428571428,0.8918918918918919,0.9166666666666667,37.0
spider,1.0,0.78125,0.8771929824561403,32.0
accuracy,0.9282051282051282,0.9282051282051282,0.9282051282051282,0.9282051282051282
macro avg,0.9379618053564259,0.9179617117117116,0.9239526020474871,195.0
weighted avg,0.9330491748315916,0.9282051282051282,0.9269156724850401,195.0
